29130395	29027109	28910576	28861363	28589985	28478309	28386955	22932425	26190040	28410425	31085300	cactus	UWOPS91-917.1
22289267	21941266	21756213	21634965	21257745	21059999	20898690	15401067	17971784	21386862	24602170	cactus	UFRJ50816
19668382	19492408	19373813	19312746	19065216	18946021	18854405	13719007	16012572	18758091	20991962	cactus	YPS138
20801430	20523925	20373645	20283890	19949958	19814585	19689371	14276525	16674078	19685249	22532640	cactus	N44
19970372	19843846	19733990	19683226	19464223	19386690	19325801	15919952	18201739	19696335	21213748	cactus	CBS432
26330334	25907579	25604294	25442370	24921686	24719091	24561480	19442713	22427758	25642814	29068894	cactus	UWOPS03-461.4
48667231	48444290	48034214	47907403	47359285	47132783	46946834	39383826	44674807	48587192	53088512	cactus	YPS128
20334069	20116333	19948263	19871948	19404711	19263944	19166438	16010845	18216589	19912435	23053128	cactus	Y12
18600440	18333811	18137325	18053833	17503182	17350738	17256107	14933572	17202380	18404604	21906518	cactus	SK1
21511191	21125738	20928711	20834912	20194925	20009328	19876068	14912715	17266990	20245131	24521708	cactus	DBVPG6765
20505693	20022968	19771265	19662464	19331797	19165092	19051332	14950800	17204621	19640196	22531150	cactus	DBVPG6044
16971363	16849963	16725302	16686592	16424715	16334707	16283839	14720073	16786299	17683361	19464114	cactus	S288c
