type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	method	graph	sample	depth
Total	544	544	0	814	1	0.4006	0.572	22	toilvg	truth	s0	1
INS	223	223	0	454	1	0.3294	0.4956	22	toilvg	truth	s0	1
DEL	321	321	0	360	1	0.4714	0.6408	22	toilvg	truth	s0	1
Total	508	508	0	850	1	0.3741	0.5445	33	toilvg	truth	s0	1
INS	218	218	0	459	1	0.322	0.4871	33	toilvg	truth	s0	1
DEL	290	290	0	391	1	0.4258	0.5973	33	toilvg	truth	s0	1
Total	482	482	0	876	1	0.3549	0.5239	34	toilvg	truth	s0	1
INS	215	215	0	462	1	0.3176	0.4821	34	toilvg	truth	s0	1
DEL	267	267	0	414	1	0.3921	0.5633	34	toilvg	truth	s0	1
Total	384	384	0	974	1	0.2828	0.4409	37	toilvg	truth	s0	1
INS	196	196	0	481	1	0.2895	0.449	37	toilvg	truth	s0	1
DEL	188	188	0	493	1	0.2761	0.4327	37	toilvg	truth	s0	1
Total	347	347	0	1011	1	0.2555	0.407	39	toilvg	truth	s0	1
INS	185	185	0	492	1	0.2733	0.4293	39	toilvg	truth	s0	1
DEL	162	162	0	519	1	0.2379	0.3844	39	toilvg	truth	s0	1
Total	272	272	0	1086	1	0.2003	0.3337	41.54425	toilvg	truth	s0	1
INS	165	165	0	512	1	0.2437	0.3919	41.54425	toilvg	truth	s0	1
DEL	107	107	0	574	1	0.1571	0.2715	41.54425	toilvg	truth	s0	1
Total	218	218	0	1140	1	0.1605	0.2766	48.75544	toilvg	truth	s0	1
INS	114	114	0	563	1	0.1684	0.2883	48.75544	toilvg	truth	s0	1
DEL	104	104	0	577	1	0.1527	0.2649	48.75544	toilvg	truth	s0	1
Total	163	163	0	1195	1	0.12	0.2143	61.58734	toilvg	truth	s0	1
INS	68	68	0	609	1	0.1004	0.1825	61.58734	toilvg	truth	s0	1
DEL	95	95	0	586	1	0.1395	0.2448	61.58734	toilvg	truth	s0	1
Total	109	109	0	1249	1	0.0803	0.1487	69.78538	toilvg	truth	s0	1
INS	43	43	0	634	1	0.0635	0.1194	69.78538	toilvg	truth	s0	1
DEL	66	66	0	615	1	0.0969	0.1767	69.78538	toilvg	truth	s0	1
Total	56	56	0	1302	1	0.0412	0.0791	79	toilvg	truth	s0	1
INS	27	27	0	650	1	0.0399	0.0767	79	toilvg	truth	s0	1
DEL	29	29	0	652	1	0.0426	0.0817	79	toilvg	truth	s0	1
Total	1	1	0	1357	1	7e-04	0.0014	183	toilvg	truth	s0	1
INS	0	0	0	677	NA	0	NA	183	toilvg	truth	s0	1
DEL	1	1	0	680	1	0.0015	0.003	183	toilvg	truth	s0	1
Total	118	118	0	1240	1	0.0869	0.1599	0	svtyper	truth	s0	1
INS	0	0	0	677	NA	0	NA	0	svtyper	truth	s0	1
DEL	118	118	0	563	1	0.1733	0.2954	0	svtyper	truth	s0	1
Total	118	118	0	1240	1	0.0869	0.1599	12.23	svtyper	truth	s0	1
INS	0	0	0	677	NA	0	NA	12.23	svtyper	truth	s0	1
DEL	118	118	0	563	1	0.1733	0.2954	12.23	svtyper	truth	s0	1
Total	116	116	0	1242	1	0.0854	0.1574	31.46	svtyper	truth	s0	1
INS	0	0	0	677	NA	0	NA	31.46	svtyper	truth	s0	1
DEL	116	116	0	565	1	0.1703	0.291	31.46	svtyper	truth	s0	1
Total	41	41	0	1317	1	0.0302	0.0586	60.25	svtyper	truth	s0	1
INS	0	0	0	677	NA	0	NA	60.25	svtyper	truth	s0	1
DEL	41	41	0	640	1	0.0602	0.1136	60.25	svtyper	truth	s0	1
Total	21	21	0	1337	1	0.0155	0.0305	89.31	svtyper	truth	s0	1
INS	0	0	0	677	NA	0	NA	89.31	svtyper	truth	s0	1
DEL	21	21	0	660	1	0.0308	0.0598	89.31	svtyper	truth	s0	1
Total	1	1	0	1357	1	7e-04	0.0014	177.38	svtyper	truth	s0	1
INS	0	0	0	677	NA	0	NA	177.38	svtyper	truth	s0	1
DEL	1	1	0	680	1	0.0015	0.003	177.38	svtyper	truth	s0	1
Total	385	385	0	973	1	0.2835	0.4418	0	delly	truth	s0	1
INS	92	92	0	585	1	0.1359	0.2393	0	delly	truth	s0	1
DEL	293	293	0	388	1	0.4302	0.6016	0	delly	truth	s0	1
Total	380	380	0	978	1	0.2798	0.4373	0	bayestyper	truth	s0	1
INS	246	246	0	431	1	0.3634	0.5331	0	bayestyper	truth	s0	1
DEL	134	134	0	547	1	0.1968	0.3289	0	bayestyper	truth	s0	1
Total	380	380	0	978	1	0.2798	0.4373	30.969	bayestyper	truth	s0	1
INS	246	246	0	431	1	0.3634	0.5331	30.969	bayestyper	truth	s0	1
DEL	134	134	0	547	1	0.1968	0.3289	30.969	bayestyper	truth	s0	1
Total	373	373	0	985	1	0.2747	0.431	99	bayestyper	truth	s0	1
INS	239	239	0	438	1	0.353	0.5218	99	bayestyper	truth	s0	1
DEL	134	134	0	547	1	0.1968	0.3289	99	bayestyper	truth	s0	1
Total	328	328	2	991	0.9939	0.2487	0.3978	0	toilvg	calls	s1	1
INS	195	195	0	473	1	0.2919	0.4519	0	toilvg	calls	s1	1
DEL	133	133	2	518	0.9852	0.2043	0.3384	0	toilvg	calls	s1	1
Total	328	328	2	991	0.9939	0.2487	0.3978	12	toilvg	calls	s1	1
INS	195	195	0	473	1	0.2919	0.4519	12	toilvg	calls	s1	1
DEL	133	133	2	518	0.9852	0.2043	0.3384	12	toilvg	calls	s1	1
Total	304	304	2	1015	0.9935	0.2305	0.3742	32	toilvg	calls	s1	1
INS	191	191	0	477	1	0.2859	0.4447	32	toilvg	calls	s1	1
DEL	113	113	2	538	0.9826	0.1736	0.2951	32	toilvg	calls	s1	1
Total	282	282	1	1037	0.9965	0.2138	0.3521	34	toilvg	calls	s1	1
INS	180	180	0	488	1	0.2695	0.4246	34	toilvg	calls	s1	1
DEL	102	102	1	549	0.9903	0.1567	0.2706	34	toilvg	calls	s1	1
Total	235	235	0	1084	1	0.1782	0.3025	36	toilvg	calls	s1	1
INS	166	166	0	502	1	0.2485	0.3981	36	toilvg	calls	s1	1
DEL	69	69	0	582	1	0.106	0.1917	36	toilvg	calls	s1	1
Total	198	198	0	1121	1	0.1501	0.261	38.77674	toilvg	calls	s1	1
INS	147	147	0	521	1	0.2201	0.3608	38.77674	toilvg	calls	s1	1
DEL	51	51	0	600	1	0.0783	0.1452	38.77674	toilvg	calls	s1	1
Total	165	165	0	1154	1	0.1251	0.2224	41.14785	toilvg	calls	s1	1
INS	129	129	0	539	1	0.1931	0.3237	41.14785	toilvg	calls	s1	1
DEL	36	36	0	615	1	0.0553	0.1048	41.14785	toilvg	calls	s1	1
Total	132	132	0	1187	1	0.1001	0.182	47.45782	toilvg	calls	s1	1
INS	97	97	0	571	1	0.1452	0.2536	47.45782	toilvg	calls	s1	1
DEL	35	35	0	616	1	0.0538	0.1021	47.45782	toilvg	calls	s1	1
Total	99	99	0	1220	1	0.0751	0.1397	58.2095	toilvg	calls	s1	1
INS	66	66	0	602	1	0.0988	0.1798	58.2095	toilvg	calls	s1	1
DEL	33	33	0	618	1	0.0507	0.0965	58.2095	toilvg	calls	s1	1
Total	66	66	0	1253	1	0.05	0.0952	67.62064	toilvg	calls	s1	1
INS	40	40	0	628	1	0.0599	0.113	67.62064	toilvg	calls	s1	1
DEL	26	26	0	625	1	0.0399	0.0767	67.62064	toilvg	calls	s1	1
Total	34	34	0	1285	1	0.0258	0.0503	76	toilvg	calls	s1	1
INS	20	20	0	648	1	0.0299	0.0581	76	toilvg	calls	s1	1
DEL	14	14	0	637	1	0.0215	0.0421	76	toilvg	calls	s1	1
Total	1	1	0	1318	1	8e-04	0.0016	143.62	toilvg	calls	s1	1
