type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	method	graph	sample	depth
Total	103	103	1	706	0.9904	0.1273	0.2256	3.35734	bayestyper	calls	s0	1
INS	99	99	0	290	1	0.2545	0.4057	3.35734	bayestyper	calls	s0	1
DEL	4	4	1	416	0.8	0.0095	0.0188	3.35734	bayestyper	calls	s0	1
Total	94	94	1	715	0.9895	0.1162	0.208	6.482813	bayestyper	calls	s0	1
INS	91	91	0	298	1	0.2339	0.3791	6.482813	bayestyper	calls	s0	1
DEL	3	3	1	417	0.75	0.0071	0.0141	6.482813	bayestyper	calls	s0	1
Total	76	76	0	733	1	0.0939	0.1717	8.319796	bayestyper	calls	s0	1
INS	73	73	0	316	1	0.1877	0.3161	8.319796	bayestyper	calls	s0	1
DEL	3	3	0	417	1	0.0071	0.0141	8.319796	bayestyper	calls	s0	1
Total	59	59	0	750	1	0.0729	0.1359	11.58788	bayestyper	calls	s0	1
INS	56	56	0	333	1	0.144	0.2517	11.58788	bayestyper	calls	s0	1
DEL	3	3	0	417	1	0.0071	0.0141	11.58788	bayestyper	calls	s0	1
Total	57	57	0	752	1	0.0705	0.1317	36.9903	bayestyper	calls	s0	1
INS	55	55	0	334	1	0.1414	0.2478	36.9903	bayestyper	calls	s0	1
DEL	2	2	0	418	1	0.0048	0.0096	36.9903	bayestyper	calls	s0	1
Total	57	57	0	752	1	0.0705	0.1317	99	bayestyper	calls	s0	1
INS	55	55	0	334	1	0.1414	0.2478	99	bayestyper	calls	s0	1
DEL	2	2	0	418	1	0.0048	0.0096	99	bayestyper	calls	s0	1
Total	327	327	0	482	1	0.4042	0.5757	0	toilvg	truth	s0	1
INS	125	125	0	264	1	0.3213	0.4863	0	toilvg	truth	s0	1
DEL	202	202	0	218	1	0.481	0.6496	0	toilvg	truth	s0	1
Total	327	327	0	482	1	0.4042	0.5757	17	toilvg	truth	s0	1
INS	125	125	0	264	1	0.3213	0.4863	17	toilvg	truth	s0	1
DEL	202	202	0	218	1	0.481	0.6496	17	toilvg	truth	s0	1
Total	300	300	0	509	1	0.3708	0.541	33	toilvg	truth	s0	1
INS	121	121	0	268	1	0.3111	0.4746	33	toilvg	truth	s0	1
DEL	179	179	0	241	1	0.4262	0.5977	33	toilvg	truth	s0	1
Total	281	281	0	528	1	0.3473	0.5155	34	toilvg	truth	s0	1
INS	117	117	0	272	1	0.3008	0.4625	34	toilvg	truth	s0	1
DEL	164	164	0	256	1	0.3905	0.5617	34	toilvg	truth	s0	1
Total	221	221	0	588	1	0.2732	0.4292	37	toilvg	truth	s0	1
INS	104	104	0	285	1	0.2674	0.422	37	toilvg	truth	s0	1
DEL	117	117	0	303	1	0.2786	0.4358	37	toilvg	truth	s0	1
Total	193	193	0	616	1	0.2386	0.3853	40	toilvg	truth	s0	1
INS	99	99	0	290	1	0.2545	0.4057	40	toilvg	truth	s0	1
DEL	94	94	0	326	1	0.2238	0.3657	40	toilvg	truth	s0	1
Total	158	158	0	651	1	0.1953	0.3268	44.04925	toilvg	truth	s0	1
INS	87	87	0	302	1	0.2237	0.3656	44.04925	toilvg	truth	s0	1
DEL	71	71	0	349	1	0.169	0.2891	44.04925	toilvg	truth	s0	1
Total	139	139	0	670	1	0.1718	0.2932	58	toilvg	truth	s0	1
INS	72	72	0	317	1	0.1851	0.3124	58	toilvg	truth	s0	1
DEL	67	67	0	353	1	0.1595	0.2751	58	toilvg	truth	s0	1
Total	110	110	0	699	1	0.136	0.2394	68	toilvg	truth	s0	1
INS	57	57	0	332	1	0.1465	0.2556	68	toilvg	truth	s0	1
DEL	53	53	0	367	1	0.1262	0.2241	68	toilvg	truth	s0	1
Total	75	75	0	734	1	0.0927	0.1697	73	toilvg	truth	s0	1
INS	43	43	0	346	1	0.1105	0.199	73	toilvg	truth	s0	1
DEL	32	32	0	388	1	0.0762	0.1416	73	toilvg	truth	s0	1
Total	40	40	0	769	1	0.0494	0.0941	90.5112	toilvg	truth	s0	1
INS	22	22	0	367	1	0.0566	0.1071	90.5112	toilvg	truth	s0	1
DEL	18	18	0	402	1	0.0429	0.0823	90.5112	toilvg	truth	s0	1
Total	0	0	0	809	NA	0	NA	174	toilvg	truth	s0	1
INS	0	0	0	389	NA	0	NA	174	toilvg	truth	s0	1
DEL	0	0	0	420	NA	0	NA	174	toilvg	truth	s0	1
Total	50	49	0	760	1	0.0606	0.1143	0	svtyper	truth	s0	1
INS	0	0	0	389	NA	0	NA	0	svtyper	truth	s0	1
DEL	50	49	0	371	1	0.1167	0.209	0	svtyper	truth	s0	1
Total	50	49	0	760	1	0.0606	0.1143	25.33	svtyper	truth	s0	1
INS	0	0	0	389	NA	0	NA	25.33	svtyper	truth	s0	1
DEL	50	49	0	371	1	0.1167	0.209	25.33	svtyper	truth	s0	1
Total	49	48	0	761	1	0.0593	0.112	31.46	svtyper	truth	s0	1
INS	0	0	0	389	NA	0	NA	31.46	svtyper	truth	s0	1
DEL	49	48	0	372	1	0.1143	0.2052	31.46	svtyper	truth	s0	1
Total	11	11	0	798	1	0.0136	0.0268	60.25	svtyper	truth	s0	1
INS	0	0	0	389	NA	0	NA	60.25	svtyper	truth	s0	1
DEL	11	11	0	409	1	0.0262	0.0511	60.25	svtyper	truth	s0	1
Total	0	0	0	809	NA	0	NA	118.56	svtyper	truth	s0	1
INS	0	0	0	389	NA	0	NA	118.56	svtyper	truth	s0	1
DEL	0	0	0	420	NA	0	NA	118.56	svtyper	truth	s0	1
Total	414	414	0	395	1	0.5117	0.677	0	delly	truth	s0	1
