type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	method	graph	sample	depth
DEL	2	2	0	413	1	0.0048	0.0096	7	svtyper	calls	s0	1
INV	4	4	0	407	1	0.0097	0.0192	7	svtyper	calls	s0	1
Total	0	0	0	1224	NA	0	NA	22	svtyper	calls	s0	1
INS	0	0	0	398	NA	0	NA	22	svtyper	calls	s0	1
DEL	0	0	0	415	NA	0	NA	22	svtyper	calls	s0	1
INV	0	0	0	411	NA	0	NA	22	svtyper	calls	s0	1
Total	53	53	16	1171	0.7681	0.0433	0.082	0	delly	calls	s0	1
INS	33	33	10	365	0.7674	0.0829	0.1496	0	delly	calls	s0	1
DEL	20	20	6	395	0.7692	0.0482	0.0907	0	delly	calls	s0	1
INV	0	0	0	411	NA	0	NA	0	delly	calls	s0	1
Total	53	53	16	1171	0.7681	0.0433	0.082	5	delly	calls	s0	1
INS	33	33	10	365	0.7674	0.0829	0.1496	5	delly	calls	s0	1
DEL	20	20	6	395	0.7692	0.0482	0.0907	5	delly	calls	s0	1
INV	0	0	0	411	NA	0	NA	5	delly	calls	s0	1
Total	32	32	5	1192	0.8649	0.0261	0.0507	7	delly	calls	s0	1
INS	21	21	5	377	0.8077	0.0528	0.0991	7	delly	calls	s0	1
DEL	11	11	0	404	1	0.0265	0.0516	7	delly	calls	s0	1
INV	0	0	0	411	NA	0	NA	7	delly	calls	s0	1
Total	14	14	2	1210	0.875	0.0114	0.0225	10	delly	calls	s0	1
INS	10	10	2	388	0.8333	0.0251	0.0487	10	delly	calls	s0	1
DEL	4	4	0	411	1	0.0096	0.019	10	delly	calls	s0	1
INV	0	0	0	411	NA	0	NA	10	delly	calls	s0	1
Total	7	7	0	1217	1	0.0057	0.0113	19.2	delly	calls	s0	1
INS	3	3	0	395	1	0.0075	0.0149	19.2	delly	calls	s0	1
DEL	4	4	0	411	1	0.0096	0.019	19.2	delly	calls	s0	1
INV	0	0	0	411	NA	0	NA	19.2	delly	calls	s0	1
Total	1	1	0	1223	1	8e-04	0.0016	52	delly	calls	s0	1
INS	0	0	0	398	NA	0	NA	52	delly	calls	s0	1
DEL	1	1	0	414	1	0.0024	0.0048	52	delly	calls	s0	1
INV	0	0	0	411	NA	0	NA	52	delly	calls	s0	1
Total	121	120	232	1104	0.3428	0.098	0.1524	0	bayestyper	calls	s0	1
INS	56	56	51	342	0.5234	0.1407	0.2218	0	bayestyper	calls	s0	1
DEL	1	1	4	414	0.2	0.0024	0.0047	0	bayestyper	calls	s0	1
INV	64	63	177	348	0.2656	0.1533	0.1944	0	bayestyper	calls	s0	1
Total	121	120	232	1104	0.3428	0.098	0.1524	1	bayestyper	calls	s0	1
INS	56	56	51	342	0.5234	0.1407	0.2218	1	bayestyper	calls	s0	1
DEL	1	1	4	414	0.2	0.0024	0.0047	1	bayestyper	calls	s0	1
INV	64	63	177	348	0.2656	0.1533	0.1944	1	bayestyper	calls	s0	1
Total	113	112	206	1112	0.3542	0.0915	0.1454	3	bayestyper	calls	s0	1
INS	55	55	43	343	0.5612	0.1382	0.2218	3	bayestyper	calls	s0	1
DEL	1	1	2	414	0.3333	0.0024	0.0048	3	bayestyper	calls	s0	1
INV	57	56	161	355	0.2615	0.1363	0.1792	3	bayestyper	calls	s0	1
Total	104	103	180	1121	0.3662	0.0842	0.1369	4	bayestyper	calls	s0	1
INS	53	53	39	345	0.5761	0.1332	0.2164	4	bayestyper	calls	s0	1
DEL	1	1	2	414	0.3333	0.0024	0.0048	4	bayestyper	calls	s0	1
INV	50	49	139	362	0.2646	0.1192	0.1644	4	bayestyper	calls	s0	1
Total	88	87	133	1137	0.3982	0.0711	0.1207	6	bayestyper	calls	s0	1
INS	53	53	31	345	0.631	0.1332	0.22	6	bayestyper	calls	s0	1
DEL	1	1	2	414	0.3333	0.0024	0.0048	6	bayestyper	calls	s0	1
INV	34	33	100	378	0.2537	0.0803	0.122	6	bayestyper	calls	s0	1
Total	77	76	106	1148	0.4208	0.0621	0.1082	9	bayestyper	calls	s0	1
INS	49	49	26	349	0.6533	0.1231	0.2072	9	bayestyper	calls	s0	1
DEL	1	1	2	414	0.3333	0.0024	0.0048	9	bayestyper	calls	s0	1
INV	27	26	78	385	0.2571	0.0633	0.1016	9	bayestyper	calls	s0	1
Total	69	68	87	1156	0.4423	0.0556	0.0988	13	bayestyper	calls	s0	1
INS	45	45	21	353	0.6818	0.1131	0.194	13	bayestyper	calls	s0	1
DEL	1	1	1	414	0.5	0.0024	0.0048	13	bayestyper	calls	s0	1
INV	23	22	65	389	0.2614	0.0535	0.0888	13	bayestyper	calls	s0	1
Total	63	62	63	1162	0.5	0.0507	0.0921	15	bayestyper	calls	s0	1
INS	45	45	16	353	0.7377	0.1131	0.1961	15	bayestyper	calls	s0	1
DEL	1	1	1	414	0.5	0.0024	0.0048	15	bayestyper	calls	s0	1
INV	17	16	46	395	0.2698	0.0389	0.068	15	bayestyper	calls	s0	1
Total	54	54	28	1170	0.6585	0.0441	0.0827	18	bayestyper	calls	s0	1
INS	44	44	16	354	0.7333	0.1106	0.1922	18	bayestyper	calls	s0	1
DEL	1	1	1	414	0.5	0.0024	0.0048	18	bayestyper	calls	s0	1
INV	9	9	11	402	0.45	0.0219	0.0418	18	bayestyper	calls	s0	1
Total	45	45	17	1179	0.7258	0.0368	0.07	99	bayestyper	calls	s0	1
INS	44	44	16	354	0.7333	0.1106	0.1922	99	bayestyper	calls	s0	1
DEL	1	1	1	414	0.5	0.0024	0.0048	99	bayestyper	calls	s0	1
INV	0	0	0	411	NA	0	NA	99	bayestyper	calls	s0	1
Total	390	392	124	832	0.7588	0.3203	0.4505	0	toilvg	truth	s0	1
INS	117	117	31	281	0.7905	0.294	0.4286	0	toilvg	truth	s0	1
DEL	150	150	57	265	0.7246	0.3614	0.4823	0	toilvg	truth	s0	1
INV	123	125	36	286	0.7736	0.3041	0.4366	0	toilvg	truth	s0	1
Total	390	392	124	832	0.7588	0.3203	0.4505	4	toilvg	truth	s0	1
INS	117	117	31	281	0.7905	0.294	0.4286	4	toilvg	truth	s0	1
DEL	150	150	57	265	0.7246	0.3614	0.4823	4	toilvg	truth	s0	1
INV	123	125	36	286	0.7736	0.3041	0.4366	4	toilvg	truth	s0	1
Total	364	366	118	858	0.7552	0.299	0.4284	33	toilvg	truth	s0	1
INS	114	114	31	284	0.7862	0.2864	0.4199	33	toilvg	truth	s0	1
DEL	127	127	51	288	0.7135	0.306	0.4283	33	toilvg	truth	s0	1
INV	123	125	36	286	0.7736	0.3041	0.4366	33	toilvg	truth	s0	1
Total	321	323	99	901	0.7643	0.2639	0.3923	35	toilvg	truth	s0	1
INS	107	107	29	291	0.7868	0.2688	0.4007	35	toilvg	truth	s0	1
DEL	98	98	34	317	0.7424	0.2361	0.3583	35	toilvg	truth	s0	1
INV	116	118	36	293	0.7632	0.2871	0.4172	35	toilvg	truth	s0	1
Total	287	289	86	935	0.7694	0.2361	0.3613	38	toilvg	truth	s0	1
INS	102	102	26	296	0.7969	0.2563	0.3879	38	toilvg	truth	s0	1
DEL	80	80	30	335	0.7273	0.1928	0.3048	38	toilvg	truth	s0	1
INV	105	107	30	304	0.7778	0.2603	0.3901	38	toilvg	truth	s0	1
Total	272	274	78	950	0.7771	0.2239	0.3476	40	toilvg	truth	s0	1
INS	100	100	23	298	0.813	0.2513	0.3839	40	toilvg	truth	s0	1
DEL	72	72	26	343	0.7347	0.1735	0.2807	40	toilvg	truth	s0	1
INV	100	102	29	309	0.7752	0.2482	0.376	40	toilvg	truth	s0	1
Total	223	225	57	999	0.7964	0.1838	0.2987	47.2757	toilvg	truth	s0	1
INS	83	83	16	315	0.8384	0.2085	0.334	47.2757	toilvg	truth	s0	1
DEL	57	57	16	358	0.7808	0.1373	0.2335	47.2757	toilvg	truth	s0	1
INV	83	85	25	326	0.7685	0.2068	0.3259	47.2757	toilvg	truth	s0	1
Total	193	195	45	1029	0.8109	0.1593	0.2663	58.42238	toilvg	truth	s0	1
INS	68	68	14	330	0.8293	0.1709	0.2834	58.42238	toilvg	truth	s0	1
DEL	55	55	15	360	0.7857	0.1325	0.2268	58.42238	toilvg	truth	s0	1
INV	70	72	16	339	0.814	0.1752	0.2883	58.42238	toilvg	truth	s0	1
Total	154	156	33	1068	0.8235	0.1275	0.2208	68	toilvg	truth	s0	1
INS	52	52	9	346	0.8525	0.1307	0.2267	68	toilvg	truth	s0	1
DEL	42	42	12	373	0.7778	0.1012	0.1791	68	toilvg	truth	s0	1
INV	60	62	12	349	0.8333	0.1509	0.2555	68	toilvg	truth	s0	1
Total	104	106	15	1118	0.8739	0.0866	0.1576	73.57488	toilvg	truth	s0	1
INS	35	35	5	363	0.875	0.0879	0.1598	73.57488	toilvg	truth	s0	1
DEL	25	25	3	390	0.8929	0.0602	0.1128	73.57488	toilvg	truth	s0	1
INV	44	46	7	365	0.8627	0.1119	0.1981	73.57488	toilvg	truth	s0	1
Total	52	54	5	1170	0.9123	0.0441	0.0841	95.7042400000001	toilvg	truth	s0	1
INS	19	19	1	379	0.95	0.0477	0.0908	95.7042400000001	toilvg	truth	s0	1
DEL	12	12	2	403	0.8571	0.0289	0.0559	95.7042400000001	toilvg	truth	s0	1
INV	21	23	2	388	0.913	0.056	0.1055	95.7042400000001	toilvg	truth	s0	1
Total	1	1	0	1223	1	8e-04	0.0016	210.35	toilvg	truth	s0	1
INS	1	1	0	397	1	0.0025	0.005	210.35	toilvg	truth	s0	1
DEL	0	0	0	415	NA	0	NA	210.35	toilvg	truth	s0	1
INV	0	0	0	411	NA	0	NA	210.35	toilvg	truth	s0	1
Total	95	95	32	1129	0.748	0.0776	0.1406	0	svtyper	truth	s0	1
INS	0	0	0	398	NA	0	NA	0	svtyper	truth	s0	1
DEL	48	48	13	367	0.7869	0.1157	0.2017	0	svtyper	truth	s0	1
INV	47	47	19	364	0.7121	0.1144	0.1971	0	svtyper	truth	s0	1
Total	95	95	32	1129	0.748	0.0776	0.1406	1	svtyper	truth	s0	1
INS	0	0	0	398	NA	0	NA	1	svtyper	truth	s0	1
DEL	48	48	13	367	0.7869	0.1157	0.2017	1	svtyper	truth	s0	1
INV	47	47	19	364	0.7121	0.1144	0.1971	1	svtyper	truth	s0	1
Total	92	92	32	1132	0.7419	0.0752	0.1366	2	svtyper	truth	s0	1
INS	0	0	0	398	NA	0	NA	2	svtyper	truth	s0	1
DEL	45	45	13	370	0.7759	0.1084	0.1902	2	svtyper	truth	s0	1
INV	47	47	19	364	0.7121	0.1144	0.1971	2	svtyper	truth	s0	1
Total	36	36	5	1188	0.878	0.0294	0.0569	4	svtyper	truth	s0	1
INS	0	0	0	398	NA	0	NA	4	svtyper	truth	s0	1
DEL	10	10	2	405	0.8333	0.0241	0.0468	4	svtyper	truth	s0	1
INV	26	26	3	385	0.8966	0.0633	0.1183	4	svtyper	truth	s0	1
Total	32	32	5	1192	0.8649	0.0261	0.0507	5	svtyper	truth	s0	1
INS	0	0	0	398	NA	0	NA	5	svtyper	truth	s0	1
DEL	9	9	2	406	0.8182	0.0217	0.0423	5	svtyper	truth	s0	1
INV	23	23	3	388	0.8846	0.056	0.1053	5	svtyper	truth	s0	1
Total	17	17	1	1207	0.9444	0.0139	0.0274	7	svtyper	truth	s0	1
INS	0	0	0	398	NA	0	NA	7	svtyper	truth	s0	1
DEL	4	4	0	411	1	0.0096	0.019	7	svtyper	truth	s0	1
INV	13	13	1	398	0.9286	0.0316	0.0611	7	svtyper	truth	s0	1
Total	0	0	0	1224	NA	0	NA	22	svtyper	truth	s0	1
INS	0	0	0	398	NA	0	NA	22	svtyper	truth	s0	1
DEL	0	0	0	415	NA	0	NA	22	svtyper	truth	s0	1
INV	0	0	0	411	NA	0	NA	22	svtyper	truth	s0	1
Total	320	320	101	904	0.7601	0.2614	0.389	0	delly	truth	s0	1
INS	167	167	69	231	0.7076	0.4196	0.5268	0	delly	truth	s0	1
DEL	153	153	32	262	0.827	0.3687	0.51	0	delly	truth	s0	1
INV	0	0	0	411	NA	0	NA	0	delly	truth	s0	1
Total	320	320	101	904	0.7601	0.2614	0.389	5	delly	truth	s0	1
INS	167	167	69	231	0.7076	0.4196	0.5268	5	delly	truth	s0	1
DEL	153	153	32	262	0.827	0.3687	0.51	5	delly	truth	s0	1
INV	0	0	0	411	NA	0	NA	5	delly	truth	s0	1
Total	211	211	36	1013	0.8543	0.1724	0.2869	7	delly	truth	s0	1
INS	133	133	31	265	0.811	0.3342	0.4733	7	delly	truth	s0	1
DEL	78	78	5	337	0.9398	0.188	0.3133	7	delly	truth	s0	1
INV	0	0	0	411	NA	0	NA	7	delly	truth	s0	1
Total	119	119	13	1105	0.9015	0.0972	0.1755	10	delly	truth	s0	1
INS	76	76	12	322	0.8636	0.191	0.3128	10	delly	truth	s0	1
DEL	43	43	1	372	0.9773	0.1036	0.1873	10	delly	truth	s0	1
INV	0	0	0	411	NA	0	NA	10	delly	truth	s0	1
Total	42	42	0	1182	1	0.0343	0.0663	25	delly	truth	s0	1
INS	20	20	0	378	1	0.0503	0.0958	25	delly	truth	s0	1
DEL	22	22	0	393	1	0.053	0.1007	25	delly	truth	s0	1
INV	0	0	0	411	NA	0	NA	25	delly	truth	s0	1
Total	2	2	0	1222	1	0.0016	0.0032	53	delly	truth	s0	1
INS	1	1	0	397	1	0.0025	0.005	53	delly	truth	s0	1
DEL	1	1	0	414	1	0.0024	0.0048	53	delly	truth	s0	1
INV	0	0	0	411	NA	0	NA	53	delly	truth	s0	1
Total	430	431	237	793	0.6447	0.3521	0.4555	0	bayestyper	truth	s0	1
INS	151	152	71	246	0.6802	0.3819	0.4892	0	bayestyper	truth	s0	1
DEL	130	130	46	285	0.7386	0.3133	0.44	0	bayestyper	truth	s0	1
INV	149	149	120	262	0.5539	0.3625	0.4382	0	bayestyper	truth	s0	1
Total	430	431	237	793	0.6447	0.3521	0.4555	1	bayestyper	truth	s0	1
INS	151	152	71	246	0.6802	0.3819	0.4892	1	bayestyper	truth	s0	1
DEL	130	130	46	285	0.7386	0.3133	0.44	1	bayestyper	truth	s0	1
INV	149	149	120	262	0.5539	0.3625	0.4382	1	bayestyper	truth	s0	1
Total	419	420	230	804	0.6456	0.3431	0.4481	2	bayestyper	truth	s0	1
INS	150	151	69	247	0.6849	0.3794	0.4883	2	bayestyper	truth	s0	1
DEL	126	126	44	289	0.7412	0.3036	0.4308	2	bayestyper	truth	s0	1
INV	143	143	117	268	0.55	0.3479	0.4262	2	bayestyper	truth	s0	1
Total	374	375	180	849	0.6751	0.3064	0.4215	3	bayestyper	truth	s0	1
INS	145	146	65	252	0.6905	0.3668	0.4791	3	bayestyper	truth	s0	1
DEL	121	121	31	294	0.7961	0.2916	0.4269	3	bayestyper	truth	s0	1
INV	108	108	84	303	0.5625	0.2628	0.3582	3	bayestyper	truth	s0	1
Total	333	334	146	890	0.6952	0.2729	0.3919	4	bayestyper	truth	s0	1
INS	136	137	62	261	0.6869	0.3442	0.4586	4	bayestyper	truth	s0	1
DEL	117	117	25	298	0.8239	0.2819	0.4201	4	bayestyper	truth	s0	1
INV	80	80	59	331	0.5755	0.1946	0.2909	4	bayestyper	truth	s0	1
Total	303	304	111	920	0.7319	0.2484	0.3709	11	bayestyper	truth	s0	1
INS	131	132	62	266	0.6788	0.3317	0.4456	11	bayestyper	truth	s0	1
DEL	114	114	25	301	0.8201	0.2747	0.4115	11	bayestyper	truth	s0	1
INV	58	58	24	353	0.7073	0.1411	0.2353	11	bayestyper	truth	s0	1
Total	300	301	106	923	0.7389	0.2459	0.369	99	bayestyper	truth	s0	1
INS	130	131	62	267	0.6771	0.3291	0.4429	99	bayestyper	truth	s0	1
DEL	114	114	25	301	0.8201	0.2747	0.4115	99	bayestyper	truth	s0	1
INV	56	56	19	355	0.7467	0.1363	0.2305	99	bayestyper	truth	s0	1
Total	356	369	122	882	0.7448	0.295	0.4226	0	toilvg	calls	s1	1
INS	106	107	32	306	0.7681	0.2591	0.3875	0	toilvg	calls	s1	1
DEL	151	157	60	271	0.7156	0.3668	0.485	0	toilvg	calls	s1	1
INV	99	105	30	305	0.7674	0.2561	0.384	0	toilvg	calls	s1	1
Total	356	369	122	882	0.7448	0.295	0.4226	6	toilvg	calls	s1	1
INS	106	107	32	306	0.7681	0.2591	0.3875	6	toilvg	calls	s1	1
DEL	151	157	60	271	0.7156	0.3668	0.485	6	toilvg	calls	s1	1
