type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	method	graph	sample	depth
INS	NA	NA	NA	NA	NA	NA	NA	110	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	110	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	133	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	133	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	133	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	133	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	167	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	167	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	167	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	167	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	180	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	180	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	180	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	180	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	250	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	250	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	250	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	250	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	350	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	350	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	350	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	350	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	450	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	450	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	450	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	450	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	550	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	550	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	550	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	550	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	650	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	650	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	650	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	650	vg	calls	s0	1
Total	204	204	0	1785	1	0.1026	0.1861	0	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	0	svtyper	calls	s0	1
DEL	53	53	0	616	1	0.0792	0.1468	0	svtyper	calls	s0	1
INV	151	151	0	492	1	0.2348	0.3803	0	svtyper	calls	s0	1
Total	203	203	0	1786	1	0.1021	0.1853	2	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	2	svtyper	calls	s0	1
DEL	52	52	0	617	1	0.0777	0.1442	2	svtyper	calls	s0	1
INV	151	151	0	492	1	0.2348	0.3803	2	svtyper	calls	s0	1
Total	74	74	0	1915	1	0.0372	0.0717	3	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	3	svtyper	calls	s0	1
DEL	11	11	0	658	1	0.0164	0.0323	3	svtyper	calls	s0	1
INV	63	63	0	580	1	0.098	0.1785	3	svtyper	calls	s0	1
Total	74	74	0	1915	1	0.0372	0.0717	4	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	4	svtyper	calls	s0	1
DEL	11	11	0	658	1	0.0164	0.0323	4	svtyper	calls	s0	1
INV	63	63	0	580	1	0.098	0.1785	4	svtyper	calls	s0	1
Total	70	70	0	1919	1	0.0352	0.068	5	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	5	svtyper	calls	s0	1
DEL	10	10	0	659	1	0.0149	0.0294	5	svtyper	calls	s0	1
INV	60	60	0	583	1	0.0933	0.1707	5	svtyper	calls	s0	1
Total	22	22	0	1967	1	0.0111	0.022	7	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	7	svtyper	calls	s0	1
DEL	3	3	0	666	1	0.0045	0.009	7	svtyper	calls	s0	1
INV	19	19	0	624	1	0.0295	0.0573	7	svtyper	calls	s0	1
Total	9	9	0	1980	1	0.0045	0.009	10	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	10	svtyper	calls	s0	1
DEL	0	0	0	669	NA	0	NA	10	svtyper	calls	s0	1
INV	9	9	0	634	1	0.014	0.0276	10	svtyper	calls	s0	1
Total	5	5	0	1984	1	0.0025	0.005	12	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	12	svtyper	calls	s0	1
DEL	0	0	0	669	NA	0	NA	12	svtyper	calls	s0	1
INV	5	5	0	638	1	0.0078	0.0155	12	svtyper	calls	s0	1
Total	4	4	0	1985	1	0.002	0.004	14	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	14	svtyper	calls	s0	1
DEL	0	0	0	669	NA	0	NA	14	svtyper	calls	s0	1
INV	4	4	0	639	1	0.0062	0.0123	14	svtyper	calls	s0	1
Total	1	1	0	1988	1	5e-04	0.001	21	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	21	svtyper	calls	s0	1
DEL	0	0	0	669	NA	0	NA	21	svtyper	calls	s0	1
INV	1	1	0	642	1	0.0016	0.0032	21	svtyper	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	27	svtyper	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	27	svtyper	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	27	svtyper	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	27	svtyper	calls	s0	1
